Park,Date/Time,Wait Time
Disneyland,4/1/2024 22:00,21
Disneyland,4/1/2024 22:05,22
Disneyland,4/1/2024 22:10,22
Disneyland,4/1/2024 22:15,21
Disneyland,4/1/2024 22:20,20
Disneyland,4/1/2024 22:25,19
Disneyland,4/1/2024 22:30,18
Disneyland,4/1/2024 22:35,17
Disneyland,4/1/2024 22:40,16
Disneyland,4/1/2024 22:45,17
Disneyland,4/1/2024 22:50,17
Disneyland,4/1/2024 22:55,17
Disneyland,4/1/2024 23:00,18
Disneyland,4/1/2024 23:05,16
Disneyland,4/1/2024 23:10,15
Disneyland,4/1/2024 23:15,15
Disneyland,4/1/2024 23:20,15
Disneyland,4/1/2024 23:25,15
Disneyland,4/1/2024 23:30,14
Disneyland,4/1/2024 23:35,14
Disneyland,4/1/2024 23:40,13
Disneyland,4/1/2024 23:45,12
Disneyland,4/1/2024 23:50,12
Disneyland,4/2/2024 7:35,6
Disneyland,4/2/2024 7:40,6
Disneyland,4/2/2024 7:45,6
Disneyland,4/2/2024 7:50,6
Disneyland,4/2/2024 7:55,6
Disneyland,4/2/2024 8:00,6
Disneyland,4/2/2024 8:05,9
Disneyland,4/2/2024 8:10,14
Disneyland,4/2/2024 8:15,15
Disneyland,4/2/2024 8:20,16
Disneyland,4/2/2024 8:25,16
Disneyland,4/2/2024 8:30,17
Disneyland,4/2/2024 8:35,19
Disneyland,4/2/2024 8:40,21
Disneyland,4/2/2024 8:45,23
Disneyland,4/2/2024 8:50,23
Disneyland,4/2/2024 8:55,25
Disneyland,4/2/2024 9:00,26
Disneyland,4/2/2024 9:05,27
Disneyland,4/2/2024 9:10,28
Disneyland,4/2/2024 9:15,28
Disneyland,4/2/2024 9:20,28
Disneyland,4/2/2024 9:25,28
Disneyland,4/2/2024 9:30,29
Disneyland,4/2/2024 9:35,29
Disneyland,4/2/2024 9:40,30
Disneyland,4/2/2024 9:45,33
Disneyland,4/2/2024 9:50,36
Disneyland,4/2/2024 9:55,37
Disneyland,4/2/2024 10:00,39
Disneyland,4/2/2024 10:05,37
Disneyland,4/2/2024 10:10,38
Disneyland,4/2/2024 10:15,38
