Ride,Date/Time,Wait Time
Space Mountain,3/2/2024 7:50,5
Space Mountain,3/2/2024 7:55,5
Space Mountain,3/2/2024 8:00,5
Space Mountain,3/2/2024 8:05,5
Space Mountain,3/2/2024 8:10,25
Space Mountain,3/2/2024 8:15,25
Space Mountain,3/2/2024 8:20,20
Space Mountain,3/2/2024 8:25,45
Space Mountain,3/2/2024 8:30,45
Space Mountain,3/2/2024 8:35,45
Space Mountain,3/2/2024 8:40,30
Space Mountain,3/2/2024 8:45,20
Space Mountain,3/2/2024 8:50,20
Space Mountain,3/2/2024 8:55,20
Space Mountain,3/2/2024 9:00,20
Space Mountain,3/2/2024 9:05,20
Space Mountain,3/2/2024 9:10,20
Space Mountain,3/2/2024 9:15,20
Space Mountain,3/2/2024 9:20,20
Space Mountain,3/2/2024 9:25,30
Space Mountain,3/2/2024 9:30,50
Space Mountain,3/2/2024 9:35,50
Space Mountain,3/2/2024 9:40,50
Space Mountain,3/2/2024 9:45,50
Space Mountain,3/2/2024 9:50,50
Space Mountain,3/2/2024 9:55,50
Space Mountain,3/2/2024 10:00,45
Space Mountain,3/2/2024 10:05,45
Space Mountain,3/2/2024 10:10,45
Space Mountain,3/2/2024 10:15,45
Space Mountain,3/2/2024 10:20,45
Space Mountain,3/2/2024 10:25,10
Space Mountain,3/2/2024 10:30,20
Space Mountain,3/2/2024 10:35,20
Space Mountain,3/2/2024 10:40,30
Space Mountain,3/2/2024 10:45,65
Space Mountain,3/2/2024 10:50,65
Space Mountain,3/2/2024 10:55,65
Space Mountain,3/2/2024 11:00,65
Space Mountain,3/2/2024 11:05,65
Space Mountain,3/2/2024 11:10,45
Space Mountain,3/2/2024 11:15,45
Space Mountain,3/2/2024 11:20,45
Space Mountain,3/2/2024 11:25,35
Space Mountain,3/2/2024 11:30,35
Space Mountain,3/2/2024 11:35,35
Space Mountain,3/2/2024 11:40,35
Space Mountain,3/2/2024 12:45,25
Space Mountain,3/2/2024 12:50,20
Space Mountain,3/2/2024 12:55,20
Space Mountain,3/2/2024 13:00,20
Space Mountain,3/2/2024 13:05,30
Space Mountain,3/2/2024 13:10,55
Space Mountain,3/2/2024 13:15,55
Space Mountain,3/2/2024 13:20,55
Space Mountain,3/2/2024 13:25,55
Space Mountain,3/2/2024 13:30,55
Space Mountain,3/2/2024 13:35,55
Space Mountain,3/2/2024 13:40,55
Space Mountain,3/2/2024 13:45,55
Space Mountain,3/2/2024 13:50,55
Space Mountain,3/2/2024 13:55,55
Space Mountain,3/2/2024 14:00,55
Space Mountain,3/2/2024 14:05,55
Space Mountain,3/2/2024 14:10,55
Space Mountain,3/2/2024 14:15,55
Space Mountain,3/2/2024 15:25,55
Space Mountain,3/2/2024 15:30,45
Space Mountain,3/2/2024 15:35,35
Space Mountain,3/2/2024 15:40,35
Space Mountain,3/2/2024 15:45,30
Space Mountain,3/2/2024 15:50,30
Space Mountain,3/2/2024 15:55,45
Space Mountain,3/2/2024 16:00,45
Space Mountain,3/2/2024 16:05,60
Space Mountain,3/2/2024 16:10,60
Space Mountain,3/2/2024 16:15,60
Space Mountain,3/2/2024 16:20,60
Space Mountain,3/2/2024 16:25,70
Space Mountain,3/2/2024 16:30,85
Space Mountain,3/2/2024 16:35,0
Space Mountain,3/2/2024 16:40,85
Space Mountain,3/2/2024 16:45,85
Space Mountain,3/2/2024 16:50,60
Space Mountain,3/2/2024 16:55,50
Space Mountain,3/2/2024 17:00,50
Space Mountain,3/2/2024 17:05,50
Space Mountain,3/2/2024 17:10,50
Space Mountain,3/2/2024 17:15,35
Space Mountain,3/2/2024 17:20,35
Space Mountain,3/2/2024 17:25,35
Space Mountain,3/2/2024 17:30,25
Space Mountain,3/2/2024 17:35,35
Space Mountain,3/2/2024 17:40,40
Space Mountain,3/2/2024 17:45,60
Space Mountain,3/2/2024 17:50,45
Space Mountain,3/2/2024 17:55,45
Space Mountain,3/2/2024 18:00,45
Space Mountain,3/2/2024 18:05,55
Space Mountain,3/2/2024 18:10,65
Space Mountain,3/2/2024 18:15,55
Space Mountain,3/2/2024 18:20,60
Space Mountain,3/2/2024 18:25,60
Space Mountain,3/2/2024 18:30,70
Space Mountain,3/2/2024 18:35,70
Space Mountain,3/2/2024 18:40,70
Space Mountain,3/2/2024 18:45,70
Space Mountain,3/2/2024 18:50,70
Space Mountain,3/2/2024 18:55,70
Space Mountain,3/2/2024 19:00,50
Space Mountain,3/2/2024 19:05,50
Space Mountain,3/2/2024 19:10,35
Space Mountain,3/2/2024 19:15,40
Space Mountain,3/2/2024 19:20,45
Space Mountain,3/2/2024 19:25,35
Space Mountain,3/2/2024 19:30,40
Space Mountain,3/2/2024 19:35,45
Space Mountain,3/2/2024 19:40,55
Space Mountain,3/2/2024 19:45,55
Space Mountain,3/2/2024 19:50,55
Space Mountain,3/2/2024 19:55,55
Space Mountain,3/2/2024 20:00,55
Space Mountain,3/2/2024 20:05,55
Space Mountain,3/2/2024 20:10,55
Space Mountain,3/2/2024 20:15,55
Space Mountain,3/2/2024 20:20,55
Space Mountain,3/2/2024 20:25,45
Space Mountain,3/2/2024 20:30,45
Space Mountain,3/2/2024 20:35,45
Space Mountain,3/2/2024 20:40,45
Space Mountain,3/2/2024 20:45,60
Space Mountain,3/2/2024 20:50,55
Space Mountain,3/2/2024 20:55,55
Space Mountain,3/2/2024 21:00,55
Space Mountain,3/2/2024 21:05,55
Space Mountain,3/2/2024 21:10,55
Space Mountain,3/2/2024 21:15,50
Space Mountain,3/2/2024 21:20,75
Space Mountain,3/2/2024 21:25,75
Space Mountain,3/2/2024 21:30,75
Space Mountain,3/2/2024 21:35,75
Space Mountain,3/2/2024 21:40,75
Space Mountain,3/2/2024 21:45,75
Space Mountain,3/2/2024 21:50,75
Space Mountain,3/2/2024 21:55,75
Space Mountain,3/2/2024 22:00,75
Space Mountain,3/2/2024 22:05,75
Space Mountain,3/2/2024 22:10,90
Space Mountain,3/2/2024 22:15,90
Space Mountain,3/2/2024 22:20,45
Space Mountain,3/2/2024 22:25,55
Space Mountain,3/2/2024 22:30,35
Space Mountain,3/2/2024 22:35,35
Space Mountain,3/2/2024 22:40,35
Space Mountain,3/2/2024 22:45,35
Space Mountain,3/2/2024 22:50,35
Space Mountain,3/2/2024 22:55,45
Space Mountain,3/2/2024 23:00,45
Space Mountain,3/2/2024 23:05,45
Space Mountain,3/2/2024 23:10,45
Space Mountain,3/2/2024 23:15,45
Space Mountain,3/2/2024 23:20,45
Space Mountain,3/2/2024 23:25,45
Space Mountain,3/2/2024 23:30,45
Space Mountain,3/2/2024 23:35,45
Space Mountain,3/2/2024 23:40,35
Space Mountain,3/2/2024 23:45,35
Space Mountain,3/2/2024 23:50,35
Space Mountain,3/2/2024 23:55,35
Space Mountain,3/3/2024 0:00,35
Space Mountain,3/3/2024 8:05,5
Space Mountain,3/3/2024 8:10,5
Space Mountain,3/3/2024 8:15,15
Space Mountain,3/3/2024 8:20,15
Space Mountain,3/3/2024 8:25,15
Space Mountain,3/3/2024 8:30,15
Space Mountain,3/3/2024 8:35,15
Space Mountain,3/3/2024 8:40,15
Space Mountain,3/3/2024 8:45,15
Space Mountain,3/3/2024 8:50,25
Space Mountain,3/3/2024 8:55,30
Space Mountain,3/3/2024 9:00,30
Space Mountain,3/3/2024 9:05,30
Space Mountain,3/3/2024 9:10,50
Space Mountain,3/3/2024 9:15,40
Space Mountain,3/3/2024 9:20,40
Space Mountain,3/3/2024 9:25,30
Space Mountain,3/3/2024 9:30,30
Space Mountain,3/3/2024 9:35,30
Space Mountain,3/3/2024 10:40,30
Space Mountain,3/3/2024 10:45,10
Space Mountain,3/3/2024 10:50,10
Space Mountain,3/3/2024 10:55,30
Space Mountain,3/3/2024 11:00,45
Space Mountain,3/3/2024 11:05,55
Space Mountain,3/3/2024 11:10,55
Space Mountain,3/3/2024 11:15,60
Space Mountain,3/3/2024 11:20,60
Space Mountain,3/3/2024 11:25,60
Space Mountain,3/3/2024 11:30,65
Space Mountain,3/3/2024 11:35,65
Space Mountain,3/3/2024 11:40,65
Space Mountain,3/3/2024 11:45,65
Space Mountain,3/3/2024 11:50,55
Space Mountain,3/3/2024 11:55,55
Space Mountain,3/3/2024 12:00,55
Space Mountain,3/3/2024 12:05,50
Space Mountain,3/3/2024 12:10,50
Space Mountain,3/3/2024 12:15,55
Space Mountain,3/3/2024 12:20,55
Space Mountain,3/3/2024 12:25,50
Space Mountain,3/3/2024 12:30,45
Space Mountain,3/3/2024 12:35,45
Space Mountain,3/3/2024 12:40,40
Space Mountain,3/3/2024 12:45,50
Space Mountain,3/3/2024 12:50,50
Space Mountain,3/3/2024 13:00,65
Space Mountain,3/3/2024 13:05,65
Space Mountain,3/3/2024 13:10,65
Space Mountain,3/3/2024 13:15,65
Space Mountain,3/3/2024 13:20,65
Space Mountain,3/3/2024 13:25,65
Space Mountain,3/3/2024 13:30,65
Space Mountain,3/3/2024 13:35,65
Space Mountain,3/3/2024 13:40,65
Space Mountain,3/3/2024 13:45,65
Space Mountain,3/3/2024 13:50,65
Space Mountain,3/3/2024 13:55,55
Space Mountain,3/3/2024 14:00,75
Space Mountain,3/3/2024 14:05,75
Space Mountain,3/3/2024 14:10,75
Space Mountain,3/3/2024 14:15,75
Space Mountain,3/3/2024 14:20,75
Space Mountain,3/3/2024 14:25,65
Space Mountain,3/3/2024 14:30,65
Space Mountain,3/3/2024 14:35,70
Space Mountain,3/3/2024 14:40,55
Space Mountain,3/3/2024 14:45,55
Space Mountain,3/3/2024 14:50,55
Space Mountain,3/3/2024 14:55,55
Space Mountain,3/3/2024 15:00,55
Space Mountain,3/3/2024 15:05,55
Space Mountain,3/3/2024 15:10,45
Space Mountain,3/3/2024 15:15,45
Space Mountain,3/3/2024 15:20,45
Space Mountain,3/3/2024 15:25,35
Space Mountain,3/3/2024 15:30,45
Space Mountain,3/3/2024 15:35,45
Space Mountain,3/3/2024 15:40,45
Space Mountain,3/3/2024 15:45,65
Space Mountain,3/3/2024 15:50,65
Space Mountain,3/3/2024 15:55,65
Space Mountain,3/3/2024 16:00,65
Space Mountain,3/3/2024 16:05,65
Space Mountain,3/3/2024 16:10,65
Space Mountain,3/3/2024 16:15,65
Space Mountain,3/3/2024 16:20,65
Space Mountain,3/3/2024 16:25,65
Space Mountain,3/3/2024 16:30,65
Space Mountain,3/3/2024 16:35,65
Space Mountain,3/3/2024 16:40,65
Space Mountain,3/3/2024 16:45,65
Space Mountain,3/3/2024 16:50,55
Space Mountain,3/3/2024 16:55,55
Space Mountain,3/3/2024 17:00,45
Space Mountain,3/3/2024 17:05,45
Space Mountain,3/3/2024 17:10,45
Space Mountain,3/3/2024 17:15,45
Space Mountain,3/3/2024 17:20,45
Space Mountain,3/3/2024 17:25,45
Space Mountain,3/3/2024 17:30,30
Space Mountain,3/3/2024 17:35,30
Space Mountain,3/3/2024 17:40,40
Space Mountain,3/3/2024 17:45,45
Space Mountain,3/3/2024 17:50,45
Space Mountain,3/3/2024 17:55,45
Space Mountain,3/3/2024 18:00,55
Space Mountain,3/3/2024 18:05,55
Space Mountain,3/3/2024 18:10,65
Space Mountain,3/3/2024 18:15,65
Space Mountain,3/3/2024 18:20,80
Space Mountain,3/3/2024 18:25,80
Space Mountain,3/3/2024 19:40,40
Space Mountain,3/3/2024 19:45,30
Space Mountain,3/3/2024 19:50,30
Space Mountain,3/3/2024 19:55,40
Space Mountain,3/3/2024 20:00,40
Space Mountain,3/3/2024 20:05,30
Space Mountain,3/3/2024 20:10,30
Space Mountain,3/3/2024 20:15,40
Space Mountain,3/3/2024 20:20,40
Space Mountain,3/3/2024 20:25,40
Space Mountain,3/3/2024 20:30,45
Space Mountain,3/3/2024 20:35,45
Space Mountain,3/3/2024 20:40,45
Space Mountain,3/3/2024 20:45,45
Space Mountain,3/3/2024 20:50,45
Space Mountain,3/3/2024 20:55,45
Space Mountain,3/3/2024 21:00,45
Space Mountain,3/3/2024 21:05,45
Space Mountain,3/3/2024 21:10,45
Space Mountain,3/3/2024 21:15,45
Space Mountain,3/3/2024 21:20,45
Space Mountain,3/3/2024 21:25,45
Space Mountain,3/3/2024 21:30,25
Space Mountain,3/3/2024 21:35,25
Space Mountain,3/3/2024 21:40,25
Space Mountain,3/3/2024 21:45,25
Space Mountain,3/3/2024 21:50,45
Space Mountain,3/3/2024 21:55,45
Space Mountain,3/3/2024 22:00,45
Space Mountain,3/3/2024 22:05,45
Space Mountain,3/3/2024 22:10,45
Space Mountain,3/3/2024 22:15,45
Space Mountain,3/3/2024 22:20,45
Space Mountain,3/3/2024 22:25,45
Space Mountain,3/3/2024 22:30,25
Space Mountain,3/3/2024 22:35,25
Space Mountain,3/3/2024 22:40,25
Space Mountain,3/3/2024 22:45,30
Space Mountain,3/3/2024 22:50,30
Space Mountain,3/3/2024 22:55,10
Space Mountain,3/3/2024 23:00,10
Space Mountain,3/4/2024 8:05,5
Space Mountain,3/4/2024 8:10,5
Space Mountain,3/4/2024 8:15,5
Space Mountain,3/4/2024 8:20,10
Space Mountain,3/4/2024 8:25,15
Space Mountain,3/4/2024 8:30,35
Space Mountain,3/4/2024 8:35,45
Space Mountain,3/4/2024 8:40,55
Space Mountain,3/4/2024 8:50,45
Space Mountain,3/4/2024 8:55,35
Space Mountain,3/4/2024 9:00,35
Space Mountain,3/4/2024 9:05,35
Space Mountain,3/4/2024 9:10,35
Space Mountain,3/4/2024 9:15,35
Space Mountain,3/4/2024 9:20,35
Space Mountain,3/4/2024 9:25,35
Space Mountain,3/4/2024 9:30,35
Space Mountain,3/4/2024 9:35,35
Space Mountain,3/4/2024 9:40,55
Space Mountain,3/4/2024 9:45,55
Space Mountain,3/4/2024 9:50,55
Space Mountain,3/4/2024 9:55,55
Space Mountain,3/4/2024 10:00,50
Space Mountain,3/4/2024 10:05,50
Space Mountain,3/4/2024 10:10,50
Space Mountain,3/4/2024 10:15,50
Space Mountain,3/4/2024 10:20,50
Space Mountain,3/4/2024 10:25,50
Space Mountain,3/4/2024 10:30,50
Space Mountain,3/4/2024 10:35,50
Space Mountain,3/4/2024 10:40,50
Space Mountain,3/4/2024 10:45,50
Space Mountain,3/4/2024 10:50,50
Space Mountain,3/4/2024 10:55,50
Space Mountain,3/4/2024 11:00,50
Space Mountain,3/4/2024 11:05,50
Space Mountain,3/4/2024 11:10,50
Space Mountain,3/4/2024 11:15,50
Space Mountain,3/4/2024 11:20,50
Space Mountain,3/4/2024 11:25,50
Space Mountain,3/4/2024 11:30,75
Space Mountain,3/4/2024 11:35,80
Space Mountain,3/4/2024 11:40,80
Space Mountain,3/4/2024 11:45,90
Space Mountain,3/4/2024 11:50,90
Space Mountain,3/4/2024 11:55,85
Space Mountain,3/4/2024 12:00,80
Space Mountain,3/4/2024 12:05,85
Space Mountain,3/4/2024 12:10,70
Space Mountain,3/4/2024 12:15,70
Space Mountain,3/4/2024 12:20,70
Space Mountain,3/4/2024 12:25,70
Space Mountain,3/4/2024 12:30,70
Space Mountain,3/4/2024 12:35,70
Space Mountain,3/4/2024 12:40,60
Space Mountain,3/4/2024 12:45,60
Space Mountain,3/4/2024 12:50,60
Space Mountain,3/4/2024 12:55,60
Space Mountain,3/4/2024 13:00,60
