Ride,Date/Time,Wait Time
Matterhorn Bobsleds,1/1/2024 20:15,40
Matterhorn Bobsleds,1/1/2024 20:20,40
Matterhorn Bobsleds,1/1/2024 20:25,40
Matterhorn Bobsleds,1/1/2024 20:30,40
Matterhorn Bobsleds,1/1/2024 20:35,40
Matterhorn Bobsleds,1/1/2024 20:40,40
Matterhorn Bobsleds,1/1/2024 20:45,40
Matterhorn Bobsleds,1/1/2024 20:50,40
Matterhorn Bobsleds,1/1/2024 20:55,40
Matterhorn Bobsleds,1/1/2024 21:00,40
Matterhorn Bobsleds,1/1/2024 21:05,40
Matterhorn Bobsleds,1/1/2024 21:10,40
Matterhorn Bobsleds,1/1/2024 21:15,40
Matterhorn Bobsleds,1/1/2024 21:20,40
Matterhorn Bobsleds,1/1/2024 21:25,40
Matterhorn Bobsleds,1/1/2024 21:30,40
Matterhorn Bobsleds,1/1/2024 21:35,20
Matterhorn Bobsleds,1/1/2024 21:40,20
Matterhorn Bobsleds,1/1/2024 23:05,5
Matterhorn Bobsleds,1/1/2024 23:10,15
Matterhorn Bobsleds,1/1/2024 23:15,35
Matterhorn Bobsleds,1/1/2024 23:20,35
Matterhorn Bobsleds,1/1/2024 23:25,35
Matterhorn Bobsleds,1/1/2024 23:30,35
Matterhorn Bobsleds,1/1/2024 23:35,35
Matterhorn Bobsleds,1/1/2024 23:40,35
Matterhorn Bobsleds,1/1/2024 23:45,40
Matterhorn Bobsleds,1/1/2024 23:50,55
Matterhorn Bobsleds,1/1/2024 23:55,55
Matterhorn Bobsleds,1/2/2024 0:00,55
Matterhorn Bobsleds,1/2/2024 8:15,10
Matterhorn Bobsleds,1/2/2024 8:20,10
Matterhorn Bobsleds,1/2/2024 8:25,10
Matterhorn Bobsleds,1/2/2024 8:30,10
Matterhorn Bobsleds,1/2/2024 8:35,15
Matterhorn Bobsleds,1/2/2024 8:40,15
Matterhorn Bobsleds,1/2/2024 8:45,15
Matterhorn Bobsleds,1/2/2024 8:50,15
Matterhorn Bobsleds,1/2/2024 8:55,15
Matterhorn Bobsleds,1/2/2024 9:00,30
Matterhorn Bobsleds,1/2/2024 9:05,30
Matterhorn Bobsleds,1/2/2024 9:10,45
Matterhorn Bobsleds,1/2/2024 9:15,60
Matterhorn Bobsleds,1/2/2024 9:20,60
Matterhorn Bobsleds,1/2/2024 9:25,60
Matterhorn Bobsleds,1/2/2024 9:30,60
Matterhorn Bobsleds,1/2/2024 9:35,60
Matterhorn Bobsleds,1/2/2024 9:40,60
Matterhorn Bobsleds,1/2/2024 9:45,60
Matterhorn Bobsleds,1/2/2024 9:50,60
Matterhorn Bobsleds,1/2/2024 9:55,60
Matterhorn Bobsleds,1/2/2024 10:05,60
Matterhorn Bobsleds,1/2/2024 10:10,60
Matterhorn Bobsleds,1/2/2024 10:15,60
Matterhorn Bobsleds,1/2/2024 10:20,60
Matterhorn Bobsleds,1/2/2024 11:15,60
Matterhorn Bobsleds,1/2/2024 11:20,40
Matterhorn Bobsleds,1/2/2024 11:25,30
Matterhorn Bobsleds,1/2/2024 11:30,30
Matterhorn Bobsleds,1/2/2024 11:35,55
Matterhorn Bobsleds,1/2/2024 11:40,60
Matterhorn Bobsleds,1/2/2024 11:45,60
Matterhorn Bobsleds,1/2/2024 11:50,60
Matterhorn Bobsleds,1/2/2024 11:55,60
Matterhorn Bobsleds,1/2/2024 12:00,60
Matterhorn Bobsleds,1/2/2024 12:05,60
Matterhorn Bobsleds,1/2/2024 12:10,60
Matterhorn Bobsleds,1/2/2024 12:15,70
Matterhorn Bobsleds,1/2/2024 12:20,70
Matterhorn Bobsleds,1/2/2024 12:25,70
Matterhorn Bobsleds,1/2/2024 12:30,70
Matterhorn Bobsleds,1/2/2024 12:35,70
Matterhorn Bobsleds,1/2/2024 12:40,70
Matterhorn Bobsleds,1/2/2024 12:45,65
Matterhorn Bobsleds,1/2/2024 12:50,65
Matterhorn Bobsleds,1/2/2024 12:55,65
Matterhorn Bobsleds,1/2/2024 13:00,65
Matterhorn Bobsleds,1/2/2024 13:05,65
Matterhorn Bobsleds,1/2/2024 13:10,65
Matterhorn Bobsleds,1/2/2024 13:15,65
Matterhorn Bobsleds,1/2/2024 13:20,65
Matterhorn Bobsleds,1/2/2024 13:25,65
Matterhorn Bobsleds,1/2/2024 13:30,65
Matterhorn Bobsleds,1/2/2024 13:35,65
Matterhorn Bobsleds,1/2/2024 13:40,65
Matterhorn Bobsleds,1/2/2024 13:45,65
Matterhorn Bobsleds,1/2/2024 13:50,65
Matterhorn Bobsleds,1/2/2024 13:55,65
Matterhorn Bobsleds,1/2/2024 14:00,65
Matterhorn Bobsleds,1/2/2024 14:05,65
Matterhorn Bobsleds,1/2/2024 14:10,65
Matterhorn Bobsleds,1/2/2024 14:15,65
Matterhorn Bobsleds,1/2/2024 14:20,65
Matterhorn Bobsleds,1/2/2024 14:25,65
Matterhorn Bobsleds,1/2/2024 14:30,40
Matterhorn Bobsleds,1/2/2024 14:35,40
Matterhorn Bobsleds,1/2/2024 14:40,40
Matterhorn Bobsleds,1/2/2024 14:45,40
